shots,errors,distance,rounds,p
10000000,46760,3,6,0.001
10000000,114376,3,6,0.002
10000000,400810,3,6,0.005
10000000,9725,5,10,0.001
10000000,54452,5,10,0.002
10000000,510207,5,10,0.005
10000000,2359,7,14,0.001
10000000,28869,7,14,0.002
10000000,629917,7,14,0.005
10000000,540,9,18,0.001
10000000,14721,9,18,0.002
10000000,754453,9,18,0.005
10000000,153,11,22,0.001
10000000,7183,11,22,0.002
10000000,882987,11,22,0.005
10000000,27,13,26,0.001
10000000,3492,13,26,0.002
10000000,1014003,13,26,0.005
