shots,errors,distance,rounds,p
10000000,7539,3,6,0.0002
10000000,244,5,10,0.0002
10000000,11,7,14,0.0002
10000000,1044356,3,6,0.01
10000000,2032945,5,10,0.01
10000000,3159161,7,14,0.01
10000000,4095989,9,18,0.01
10000000,4662653,11,22,0.01
10000000,4909052,13,26,0.01
10000000,4979930,15,30,0.01
10000000,2357096,3,6,0.02
10000000,4346448,5,10,0.02
10000000,4952953,7,14,0.02
10000000,4999051,9,18,0.02
10000000,5001400,11,22,0.02
10000000,4998528,13,26,0.02
10000000,4999706,15,30,0.02
10000000,3371022,3,6,0.03
10000000,4910787,5,10,0.03
10000000,5000192,7,14,0.03
10000000,5001042,9,18,0.03
10000000,4998284,11,22,0.03
10000000,5001046,13,26,0.03
10000000,5000636,15,30,0.03
