shots,errors,distance,rounds,p
10000000,9856,3,6,0.0002
10000000,732,5,10,0.0002
10000000,217,7,14,0.0002
10000000,99,9,18,0.0002
10000000,51,11,22,0.0002
10000000,44,13,26,0.0002
10000000,29,15,30,0.0002
10000000,1034835,3,6,0.01
10000000,2241867,5,10,0.01
10000000,3611489,7,14,0.01
10000000,4549830,9,18,0.01
10000000,4914507,11,22,0.01
10000000,4988395,13,26,0.01
10000000,5000040,15,30,0.01
10000000,2351445,3,6,0.02
10000000,4438411,5,10,0.02
10000000,4971274,7,14,0.02
10000000,5002215,9,18,0.02
10000000,5001856,11,22,0.02
10000000,5002087,13,26,0.02
10000000,4998701,15,30,0.02
10000000,3372869,3,6,0.03
10000000,4928551,5,10,0.03
10000000,4998300,7,14,0.03
10000000,4998143,9,18,0.03
10000000,4998867,11,22,0.03
10000000,5001391,13,26,0.03
10000000,4998744,15,30,0.03
