shots,errors,distance,p,rounds
1000000,4035,3,0.001,6
1000000,9980,3,0.002,6
1000000,39165,3,0.005,6
1000000,108650,3,0.01,6
1000000,259450,3,0.02,6
1000000,370605,3,0.03,6
1000000,436441,3,0.04,6
1000000,470186,3,0.05,6
1000000,561,5,0.001,10
1000000,3351,5,0.002,10
1000000,35077,5,0.005,10
1000000,165466,5,0.01,10
1000000,417940,5,0.02,10
1000000,490744,5,0.03,10
1000000,498673,5,0.04,10
1000000,500256,5,0.05,10
1000000,184,7,0.001,14
1000000,1505,7,0.002,14
1000000,33375,7,0.005,14
1000000,226389,7,0.01,14
1000000,486742,7,0.02,14
1000000,500022,7,0.03,14
1000000,499549,7,0.04,14
1000000,499481,7,0.05,14
1000000,100,9,0.001,18
1000000,951,9,0.002,18
1000000,32463,9,0.005,18
1000000,290743,9,0.01,18
1000000,499270,9,0.02,18
1000000,499789,9,0.03,18
1000000,499962,9,0.04,18
1000000,500389,9,0.05,18
1000000,63,11,0.001,22
1000000,723,11,0.002,22
1000000,33017,11,0.005,22
1000000,352473,11,0.01,22
1000000,500211,11,0.02,22
1000000,500495,11,0.03,22
1000000,500655,11,0.04,22
1000000,500218,11,0.05,22
1000000,53,13,0.001,26
1000000,564,13,0.002,26
1000000,34678,13,0.005,26
1000000,406675,13,0.01,26
1000000,500559,13,0.02,26
1000000,499939,13,0.03,26
1000000,500198,13,0.04,26
1000000,501112,13,0.05,26
1000000,41,15,0.001,30
1000000,429,15,0.002,30
1000000,37753,15,0.005,30
1000000,445858,15,0.01,30
1000000,499803,15,0.02,30
1000000,499868,15,0.03,30
1000000,499916,15,0.04,30
1000000,499423,15,0.05,30
